subscription_id,account_id,account_name,division,segment,region,subscription_start,subscription_end,initial_arr,current_arr,mrr,status,cohort_quarter,gross_margin_pct,months_active
20166,5175,"Beard, Peters and Black",Arc Suite,Fund/Asset Manager,West,2025-05-21,,58321.5,58321.5,4860.13,Active,FY2025-Q2,0.71,14
20167,5214,Gonzales-Harrison,Arc Suite,Fund/Asset Manager,Texas/Central,2025-05-21,,70396.44,70396.44,5866.37,Active,FY2025-Q2,0.71,14
20168,5280,"Phillips, Spence and Barrett",Arc Suite,Fund/Asset Manager,Midwest,2025-05-25,,78373.88,82964.54,6913.71,Active,FY2025-Q2,0.71,14
20169,5237,Gay Inc,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-05-31,,55895.65,47974.53,3997.88,Active,FY2025-Q2,0.71,14
20170,5319,Willis and Sons,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2025-06-03,,56574.81,56574.81,4714.57,Active,FY2025-Q2,0.71,13
20171,5470,"Kennedy, Johnson and Lucas",Arc Suite,Fund/Asset Manager,Texas/Central,2025-06-06,2026-03-01,45579.13,0.0,0.0,Churned,FY2025-Q2,0.71,9
20172,5281,Smith-Grimes,Arc Suite,Fund/Asset Manager,West,2025-06-06,,55390.2,55390.2,4615.85,Active,FY2025-Q2,0.71,13
20173,5229,"Bryan, Smith and Booth",Arc Suite,Fund/Asset Manager,Midwest,2025-06-18,,75575.28,75575.28,6297.94,Active,FY2025-Q2,0.71,13
20174,5331,Boone-Simmons,Arc Suite,Fund/Asset Manager,Southeast,2025-07-16,,58881.58,58881.58,4906.8,Active,FY2025-Q3,0.71,12
20175,5225,"Garcia, Martin and Jenkins",Arc Suite,Fund/Asset Manager,West,2025-08-23,,53392.38,53392.38,4449.36,Active,FY2025-Q3,0.71,11
20176,5462,"Fuller, Ingram and Moss",Arc Suite,Fund/Asset Manager,Midwest,2025-08-27,,63077.93,63077.93,5256.49,Active,FY2025-Q3,0.71,11
20177,5404,Hayes LLC,Arc Suite,Fund/Asset Manager,Midwest,2025-09-13,,45929.72,45929.72,3827.48,Active,FY2025-Q3,0.71,10
20178,5079,Dickson-Brady,Arc Suite,Fund/Asset Manager,Northeast,2025-10-13,,21170.3,21170.3,1764.19,Active,FY2025-Q4,0.71,9
20179,5263,Young Ltd,Arc Suite,Fund/Asset Manager,West,2025-11-30,,51241.45,51241.45,4270.12,Active,FY2025-Q4,0.71,8
20180,5099,Diaz Inc,Arc Suite,Fund/Asset Manager,West,2025-12-28,,20000.0,20000.0,1666.67,Active,FY2025-Q4,0.71,7
20181,5227,"Johnson, Miller and King",Arc Suite,Fund/Asset Manager,Southeast,2026-01-17,,55239.92,55239.92,4603.33,Active,FY2026-Q1,0.71,6
20182,5028,"Washington, Ryan and Cummings",Arc Suite,Fund/Asset Manager,Texas/Central,2026-03-18,,67407.81,67407.81,5617.32,Active,FY2026-Q1,0.71,4
20183,5053,Sandoval-Cunningham,Arc Suite,Fund/Asset Manager,Texas/Central,2026-03-24,,77776.01,77776.01,6481.33,Active,FY2026-Q1,0.71,4
20184,5445,Lowery-Kennedy,Arc Suite,Fund/Asset Manager,Midwest,2026-03-26,,69538.02,69538.02,5794.83,Active,FY2026-Q1,0.71,4
20185,5306,Price LLC,Arc Suite,Fund/Asset Manager,Southeast,2026-04-18,,60653.11,60653.11,5054.43,Active,FY2026-Q2,0.71,3
20186,5440,Brown-Shaw,Arc Suite,Fund/Asset Manager,Texas/Central,2026-05-20,,41537.99,41537.99,3461.5,Active,FY2026-Q2,0.71,2
20187,5246,Monroe-Carpenter,Arc Suite,Fund/Asset Manager,Texas/Central,2026-05-30,,40221.38,40221.38,3351.78,Active,FY2026-Q2,0.71,2
20188,5024,Chapman and Sons,Arc Suite,Fund/Asset Manager,Northeast,2026-06-05,,56219.89,56219.89,4684.99,Active,FY2026-Q2,0.71,1
20189,5364,Webster Inc,Arc Suite,Fund/Asset Manager,West,2026-06-07,,44429.49,44429.49,3702.46,Active,FY2026-Q2,0.71,1
20190,5196,Jones-Soto,Arc Suite,Fund/Asset Manager,Mid-Atlantic,2026-06-13,,42680.97,42680.97,3556.75,Active,FY2026-Q2,0.71,1
20191,5014,Rodriguez LLC,Arc Suite,Fund/Asset Manager,West,2026-06-23,,60803.75,60803.75,5066.98,Active,FY2026-Q2,0.71,1
20192,5437,Cole-Palmer,Arc Suite,Fund/Asset Manager,Texas/Central,2026-06-27,,44669.1,44669.1,3722.43,Active,FY2026-Q2,0.71,1
