month,division,channel,spend,sourced_leads,sourced_opps,sourced_wins,fiscal_quarter
2025-12-01,Venue,Paid Digital,11875.98,5,0,0,FY2025-Q4
2026-01-01,Venue,Inbound / Content,14568.45,13,2,0,FY2026-Q1
2026-01-01,Venue,Outbound / SDR,28460.32,11,1,0,FY2026-Q1
2026-01-01,Venue,Events / Conferences,19165.86,17,5,2,FY2026-Q1
2026-01-01,Venue,Partner / Referral,6498.53,9,3,1,FY2026-Q1
2026-01-01,Venue,Paid Digital,11074.82,4,0,0,FY2026-Q1
2026-02-01,Venue,Inbound / Content,15630.88,11,2,0,FY2026-Q1
2026-02-01,Venue,Outbound / SDR,25296.55,14,2,0,FY2026-Q1
2026-02-01,Venue,Events / Conferences,20065.52,19,5,2,FY2026-Q1
2026-02-01,Venue,Partner / Referral,6825.15,9,3,1,FY2026-Q1
2026-02-01,Venue,Paid Digital,10693.89,4,0,0,FY2026-Q1
2026-03-01,Venue,Inbound / Content,14325.79,14,3,1,FY2026-Q1
2026-03-01,Venue,Outbound / SDR,27509.13,11,1,0,FY2026-Q1
2026-03-01,Venue,Events / Conferences,16635.68,21,6,1,FY2026-Q1
2026-03-01,Venue,Partner / Referral,7539.5,11,4,2,FY2026-Q1
2026-03-01,Venue,Paid Digital,10578.4,5,0,0,FY2026-Q1
2026-04-01,Venue,Inbound / Content,15156.56,12,2,0,FY2026-Q2
2026-04-01,Venue,Outbound / SDR,28913.88,17,2,0,FY2026-Q2
2026-04-01,Venue,Events / Conferences,19375.98,22,6,1,FY2026-Q2
2026-04-01,Venue,Partner / Referral,6045.27,9,3,1,FY2026-Q2
2026-04-01,Venue,Paid Digital,12971.1,5,0,0,FY2026-Q2
2026-05-01,Venue,Inbound / Content,15064.52,12,2,0,FY2026-Q2
2026-05-01,Venue,Outbound / SDR,24942.1,11,1,0,FY2026-Q2
2026-05-01,Venue,Events / Conferences,19831.08,24,7,3,FY2026-Q2
2026-05-01,Venue,Partner / Referral,6654.41,11,4,2,FY2026-Q2
2026-05-01,Venue,Paid Digital,10015.76,5,0,0,FY2026-Q2
2026-06-01,Venue,Inbound / Content,14477.91,11,2,0,FY2026-Q2
2026-06-01,Venue,Outbound / SDR,23825.93,11,1,0,FY2026-Q2
2026-06-01,Venue,Events / Conferences,17391.31,23,6,2,FY2026-Q2
2026-06-01,Venue,Partner / Referral,6097.01,8,3,1,FY2026-Q2
2026-06-01,Venue,Paid Digital,11359.52,5,0,0,FY2026-Q2
