account_id,account_name,segment,region,employee_count
5457,Jones-Fox,Pre-IPO / Private,Texas/Central,50
5458,"Hartman, Romero and Smith",Investment Bank,Midwest,3000
5459,Williams-Hughes,Private Equity,Mid-Atlantic,50
5460,King-Smith,Investment Bank,Midwest,1500
5461,Cooper Ltd,Pre-IPO / Private,Texas/Central,800
5462,"Fuller, Ingram and Moss",Fund/Asset Manager,Midwest,800
5463,Anderson-Bell,Pre-IPO / Private,Mid-Atlantic,800
5464,Li-Thompson,Investment Bank,Northeast,150
5465,"Marshall, Dominguez and Welch",Investment Bank,West,400
5466,Brown Group,Private Equity,Midwest,3000
5467,Carter Inc,Pre-IPO / Private,Northeast,8000
5468,Blackwell LLC,Fund/Asset Manager,Southeast,400
5469,Robertson-Hays,Large Cap Public,West,8000
5470,"Kennedy, Johnson and Lucas",Fund/Asset Manager,Texas/Central,50
5471,Kelly-Norman,Private Equity,Texas/Central,800
5472,"Rivera, Martinez and Richardson",Pre-IPO / Private,Mid-Atlantic,1500
5473,Paul-Kline,Pre-IPO / Private,Mid-Atlantic,3000
5474,Morgan-Lopez,Mid Cap Public,West,400
5475,"Jimenez, Glass and Stone",Fund/Asset Manager,Texas/Central,8000
5476,Acosta Inc,Fund/Asset Manager,Texas/Central,8000
5477,Morrison-Short,Mid Cap Public,Texas/Central,50
5478,"Carter, Garcia and Murphy",Fund/Asset Manager,Texas/Central,50
5479,Parker-Morrison,Pre-IPO / Private,Southeast,50
